dex_no,name_en,generation,forms,category,height_m,weight_kg,hatch_time,name_fr,name_es,name_de,name_it,has_gender,female_percent,male_percent,is_breedable,catch_rate,leveling_rate,pokedex_colour,base_friendship,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,base_experience_yield,egg_group_0,egg_group_1,type_0,type_1,ev_yield_hp,ev_yield_attack,ev_yield_defense,ev_yield_special_attack,ev_yield_special_defense,ev_yield_speed,description_violet,ability_0,ability_1,hidden_ability,is_legendary,is_mythical,is_part_of_evolution,stage,evolution_level,bulbapedia_link
0013,Weedle,1,1,Hairy Bug Pokémon,0.3,3.2,15,Aspicot,Weedle,Hornliu,Weedle,True,50,50,True,255,Medium Fast,Brown,70,40,35,30,20,20,50,39,Bug,,Bug,Poison,0,0,0,0,0,1,,Shield Dust,,Run Away,False,False,True,basic,7,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)
0014,Kakuna,1,1,Cocoon Pokémon,0.6,10.0,15,Coconfort,Kakuna,Kokuna,Kakuna,True,50,50,True,120,Medium Fast,Yellow,70,45,25,50,25,25,35,72,Bug,,Bug,Poison,0,0,2,0,0,0,,Shed Skin,,,False,False,True,stage 1,10,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)
0015,Beedrill,1,1,Poison Bee Pokémon,1.0,29.5,15,Dardargnan,Beedrill,Bibor,Beedrill,True,50,50,True,45,Medium Fast,Yellow,70,65,80,40,45,80,75,178,Bug,,Bug,Poison,0,2,0,0,1,0,,Swarm,,Sniper,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)
0016,Pidgey,1,1,Tiny Bird Pokémon,0.3,1.8,15,Roucool,Pidgey,Taubsi,Pidgey,True,50,50,True,255,Medium Slow,Brown,70,40,45,40,35,35,56,50,Flying,,Normal,Flying,0,0,0,0,0,1,,Keen Eye,Tangled Feet,Big Pecks,False,False,True,basic,18,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)
0017,Pidgeotto,1,1,Bird Pokémon,1.1,30.0,15,Roucoups,Pidgeotto,Tauboga,Pidgeotto,True,50,50,True,120,Medium Slow,Brown,70,63,60,55,50,50,71,122,Flying,,Normal,Flying,0,0,0,0,0,2,,Keen Eye,Tangled Feet,Big Pecks,False,False,True,stage 1,36,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)
0018,Pidgeot,1,1,Bird Pokémon,1.5,39.5,15,Roucarnage,Pidgeot,Tauboss,Pidgeot,True,50,50,True,45,Medium Slow,Brown,70,83,80,75,70,70,91,216,Flying,,Normal,Flying,0,0,0,0,0,3,,Keen Eye,Tangled Feet,Big Pecks,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)
0019,Rattata,1,2,Mouse Pokémon,0.3,3.5,15,Rattata,Rattata,Rattfratz,Rattata,True,50,50,True,255,Medium Fast,Purple,70,30,56,35,25,35,72,51,Field,,Normal,,0,0,0,0,0,1,,Run Away,Guts,Hustle,False,False,True,basic,20,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)
0020,Raticate,1,2,Mouse Pokémon,0.7,18.5,15,Rattatac,Raticate,Rattikarl,Raticate,True,50,50,True,127,Medium Fast,Brown,70,55,81,60,50,70,97,145,Field,,Normal,,0,0,0,0,0,2,,Run Away,Guts,Hustle,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)
0021,Spearow,1,1,Tiny Bird Pokémon,0.3,2.0,15,Piafabec,Spearow,Habitak,Spearow,True,50,50,True,255,Medium Fast,Brown,70,40,60,30,31,31,70,52,Flying,,Normal,Flying,0,0,0,0,0,1,,Keen Eye,,Sniper,False,False,True,basic,20,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)
0022,Fearow,1,1,Beak Pokémon,1.2,38.0,15,Rapasdepic,Fearow,Ibitak,Fearow,True,50,50,True,90,Medium Fast,Brown,70,65,90,65,61,61,100,155,Flying,,Normal,Flying,0,0,0,0,0,2,,Keen Eye,,Sniper,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)
0023,Ekans,1,1,Snake Pokémon,2.0,6.9,20,Abo,Ekans,Rettan,Ekans,True,50,50,True,255,Medium Fast,Purple,70,35,60,44,40,54,55,58,Field,Dragon,Poison,,0,1,0,0,0,0,A very common sight in grasslands and such. It flicks its tongue in and out to sense danger in its surroundings.,Intimidate,Shed Skin,Unnerve,False,False,True,basic,22,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)
0024,Arbok,1,1,Cobra Pokémon,3.5,65.0,20,Arbok,Arbok,Arbok,Arbok,True,50,50,True,90,Medium Fast,Purple,70,60,85,69,65,79,80,157,Field,Dragon,Poison,,0,2,0,0,0,0,"This Pokémon is very tenacious. Once it targets its prey, it won't give up the chase, no matter how far the prey goes.",Intimidate,Shed Skin,Unnerve,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)
0025,Pikachu,1,1,Mouse Pokémon,0.4,6.0,10,Pikachu,Pikachu,Pikachu,Pikachu,True,50,50,True,190,Medium Fast,Yellow,70,35,55,30,50,40,90,112,Field,Fairy,Electric,,0,0,0,0,0,2,"When several of these Pokémon gather, their electricity can build and cause lightning storms.",Static,,Lightning Rod,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
0026,Raichu,1,2,Mouse Pokémon,0.8,30.0,10,Raichu,Raichu,Raichu,Raichu,True,50,50,True,75,Medium Fast,Yellow,70,60,90,55,90,80,100,218,Field,Fairy,Electric,,0,0,0,0,0,3,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up.",Static,,Lightning Rod,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)
0027,Sandshrew,1,2,Mouse Pokémon,0.6,12.0,20,Sabelette,Sandshrew,Sandan,Sandshrew,True,50,50,True,255,Medium Fast,Yellow,70,50,75,85,20,30,40,60,Field,,Ground,,0,0,1,0,0,0,"No matter how high a place it falls from, this Pokémon can save itself by rolling in a ball and bouncing.",Sand Veil,,Sand Rush,False,False,True,basic,22,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)
0028,Sandslash,1,2,Mouse Pokémon,1.0,29.5,20,Sablaireau,Sandslash,Sandamer,Sandslash,True,50,50,True,90,Medium Fast,Yellow,70,75,100,110,45,55,65,158,Field,,Ground,,0,0,2,0,0,0,The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.,Sand Veil,,Sand Rush,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)
0029,Nidoran♀,1,1,Poison Pin Pokémon,0.4,7.0,20,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,True,100,0,True,235,Medium Slow,Blue,70,55,47,52,40,40,41,55,Monster,Field,Poison,,1,0,0,0,0,0,,Poison Point,Rivalry,Hustle,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)
0030,Nidorina,1,1,Poison Pin Pokémon,0.8,20.0,20,Nidorina,Nidorina,Nidorina,Nidorina,True,100,0,True,120,Medium Slow,Blue,70,70,62,67,55,55,56,128,No Eggs Discovered,,Poison,,2,0,0,0,0,0,,Poison Point,Rivalry,Hustle,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)
0031,Nidoqueen,1,1,Drill Pokémon,1.3,60.0,20,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,True,100,0,True,45,Medium Slow,Blue,70,90,82,87,75,85,76,227,No Eggs Discovered,,Poison,Ground,3,0,0,0,0,0,,Poison Point,Rivalry,Sheer Force,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)
0032,Nidoran♂,1,1,Poison Pin Pokémon,0.5,9.0,20,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,True,0,100,True,235,Medium Slow,Purple,70,46,57,40,40,40,50,55,Monster,Field,Poison,,0,1,0,0,0,0,,Poison Point,Rivalry,Hustle,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)
0033,Nidorino,1,1,Poison Pin Pokémon,0.9,19.5,20,Nidorino,Nidorino,Nidorino,Nidorino,True,0,100,True,120,Medium Slow,Purple,70,61,72,57,55,55,65,128,Monster,Field,Poison,,0,2,0,0,0,0,,Poison Point,Rivalry,Hustle,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)
0034,Nidoking,1,1,Drill Pokémon,1.4,62.0,20,Nidoking,Nidoking,Nidoking,Nidoking,True,0,100,True,45,Medium Slow,Purple,70,81,92,77,85,75,85,227,Monster,Field,Poison,Ground,0,3,0,0,0,0,,Poison Point,Rivalry,Sheer Force,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)
0035,Clefairy,1,1,Fairy Pokémon,0.6,7.5,10,Mélofée,Clefairy,Piepi,Clefairy,True,75,25,True,150,Fast,Pink,140,70,45,48,60,65,35,113,Fairy,,Fairy,,2,0,0,0,0,0,"On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Cute Charm,Magic Guard,Friend Guard,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)
0036,Clefable,1,1,Fairy Pokémon,1.3,40.0,10,Mélodelfe,Clefable,Pixi,Clefable,True,75,25,True,25,Fast,Pink,140,95,70,73,85,90,60,217,Fairy,,Fairy,,3,0,0,0,0,0,"It has an acute sense of hearing. It can easily hear a pin being dropped nearly 1,100 yards away.",Cute Charm,Magic Guard,Unaware,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)
0037,Vulpix,1,2,Fox Pokémon,0.6,9.9,20,Goupix,Vulpix,Vulpix,Vulpix,True,75,25,True,190,Medium Fast,Brown,70,38,41,40,50,65,65,60,Field,,Fire,,0,0,0,0,0,1,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",Flash Fire,,Drought,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)
0038,Ninetales,1,2,Fox Pokémon,1.1,19.9,20,Feunard,Ninetales,Vulnona,Ninetales,True,75,25,True,75,Medium Fast,Yellow,70,73,76,75,81,100,100,177,Field,,Fire,,0,0,0,0,1,1,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",Flash Fire,,Drought,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)
0039,Jigglypuff,1,1,Balloon Pokémon,0.5,5.5,10,Rondoudou,Jigglypuff,Pummeluff,Jigglypuff,True,75,25,True,170,Fast,Pink,70,115,45,20,45,25,20,95,Fairy,,Normal,Fairy,2,0,0,0,0,0,"If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.",Cute Charm,Competitive,Friend Guard,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)
0040,Wigglytuff,1,1,Balloon Pokémon,1.0,12.0,10,Grodoudou,Wigglytuff,Knuddeluff,Wigglytuff,True,75,25,True,50,Fast,Pink,70,140,70,45,75,50,45,196,Fairy,,Normal,Fairy,3,0,0,0,0,0,"The rich, fluffy fur that covers its body feels so good that anyone who feels it can't stop touching it.",Cute Charm,Competitive,Frisk,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)
0041,Zubat,1,1,Bat Pokémon,0.8,7.5,15,Nosferapti,Zubat,Zubat,Zubat,True,50,50,True,255,Medium Fast,Purple,70,40,45,35,30,40,55,49,Flying,,Poison,Flying,0,0,0,0,0,1,,Inner Focus,,Infiltrator,False,False,True,basic,22,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)
0042,Golbat,1,1,Bat Pokémon,1.6,55.0,15,Nosferalto,Golbat,Golbat,Golbat,True,50,50,True,90,Medium Fast,Purple,70,75,80,70,65,75,90,159,Flying,,Poison,Flying,0,0,0,0,0,2,,Inner Focus,,Infiltrator,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
0043,Oddish,1,1,Weed Pokémon,0.5,5.4,20,Mystherbe,Oddish,Myrapla,Oddish,True,50,50,True,255,Medium Slow,Blue,70,45,50,55,75,65,30,64,Grass,,Grass,Poison,0,0,0,1,0,0,"When it is woken by moonlight, it wanders about. But during the day, it stays still underground.",Chlorophyll,,Run Away,False,False,True,basic,21,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
0044,Gloom,1,1,Weed Pokémon,0.8,8.6,20,Ortide,Gloom,Duflor,Gloom,True,50,50,True,120,Medium Slow,Blue,70,60,65,70,85,75,40,138,Grass,,Grass,Poison,0,0,0,2,0,0,"It secretes a sticky, drool-like nectar. Though sweet, it smells too repulsive to get very close.",Chlorophyll,,Stench,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
0045,Vileplume,1,1,Flower Pokémon,1.2,18.6,20,Rafflesia,Vileplume,Giflor,Vileplume,True,50,50,True,45,Medium Slow,Red,70,75,80,85,100,90,50,221,Grass,,Grass,Poison,0,0,0,3,0,0,"It fiendishly scatters allergenic pollen from its petals, which are the largest in the world.",Chlorophyll,,Effect Spore,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
0046,Paras,1,1,Mushroom Pokémon,0.3,5.4,20,Paras,Paras,Paras,Paras,True,50,50,True,190,Medium Fast,Red,70,35,70,55,45,55,25,57,Bug,Grass,Bug,Grass,0,1,0,0,0,0,,Effect Spore,Dry Skin,Damp,False,False,True,basic,24,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
0047,Parasect,1,1,Mushroom Pokémon,1.0,29.5,20,Parasect,Parasect,Parasek,Parasect,True,50,50,True,75,Medium Fast,Red,70,60,95,80,60,80,30,142,Bug,Grass,Bug,Grass,0,2,1,0,0,0,,Effect Spore,Dry Skin,Damp,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
0048,Venonat,1,1,Insect Pokémon,1.0,30.0,20,Mimitoss,Venonat,Bluzuk,Venonat,True,50,50,True,190,Medium Fast,Purple,70,60,55,50,40,55,45,61,Bug,,Bug,Poison,0,0,0,0,1,0,"Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams.",Compound Eyes,Tinted Lens,Run Away,False,False,True,basic,31,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
0049,Venomoth,1,1,Poison Moth Pokémon,1.5,12.5,20,Aéromite,Venomoth,Omot,Venomoth,True,50,50,True,75,Medium Fast,Purple,70,70,65,60,90,75,90,158,Bug,,Bug,Poison,0,0,0,1,0,1,"When it attacks, it flaps its large wings violently to scatter its poisonous powder all around.",Shield Dust,Tinted Lens,Wonder Skin,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
0050,Diglett,1,2,Mole Pokémon,0.2,0.8,20,Taupiqueur,Diglett,Digda,Diglett,True,50,50,True,255,Medium Fast,Brown,70,10,55,25,35,45,95,53,Field,,Ground,,0,0,0,0,0,1,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.",Sand Veil,Arena Trap,Sand Force,False,False,True,basic,26,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
0051,Dugtrio,1,2,Mole Pokémon,0.7,33.3,20,Triopikeur,Dugtrio,Digdri,Dugtrio,True,50,50,True,50,Medium Fast,Brown,70,35,80,50,50,70,120,149,Field,,Ground,,0,0,0,0,0,2,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.",Sand Veil,Arena Trap,Sand Force,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
0052,Meowth,1,3,Scratch Cat Pokémon,0.4,4.2,20,Miaouss,Meowth,Mauzi,Meowth,True,50,50,True,255,Medium Fast,Yellow,70,40,45,35,40,40,90,58,Field,,Normal,,0,0,0,0,0,1,"It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines, too.",Pickup,Technician,Unnerve,False,False,True,basic,28,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
0053,Persian,1,2,Classy Cat Pokémon,1.0,32.0,20,Persian,Persian,Snobilikat,Persian,True,50,50,True,90,Medium Fast,Yellow,70,65,70,60,65,65,115,154,Field,,Normal,,0,0,0,0,0,2,It has a vicious temperament. Beware if it raises its tail straight up. This is a signal that it is about to pounce and bite.,Limber,Technician,Unnerve,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
0054,Psyduck,1,1,Duck Pokémon,0.8,19.6,20,Psykokwak,Psyduck,Enton,Psyduck,True,50,50,True,190,Medium Fast,Yellow,70,50,52,48,65,50,55,64,Water 1,Field,Water,,0,0,0,1,0,0,"If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode.",Damp,Cloud Nine,Swift Swim,False,False,True,basic,33,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
0055,Golduck,1,1,Duck Pokémon,1.7,76.6,20,Akwakwak,Golduck,Entoron,Golduck,True,50,50,True,75,Medium Fast,Blue,70,80,82,78,95,80,85,175,Water 1,Field,Water,,0,0,0,2,0,0,"It swims gracefully along on the quiet, slow- moving rivers and lakes of which it is so fond.",Damp,Cloud Nine,Swift Swim,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
0056,Mankey,1,1,Pig Monkey Pokémon,0.5,28.0,20,Férosinge,Mankey,Menki,Mankey,True,50,50,True,190,Medium Fast,Brown,70,40,80,35,35,45,70,61,Field,,Fighting,,0,1,0,0,0,0,"It is extremely quick to anger. It could be docile one moment, then thrashing away the next instant.",Vital Spirit,Anger Point,Defiant,False,False,True,basic,28,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
0057,Primeape,1,1,Pig Monkey Pokémon,1.0,32.0,20,Colossinge,Primeape,Rasaff,Primeape,True,50,50,True,75,Medium Fast,Brown,70,65,105,60,60,70,95,159,Field,,Fighting,,0,2,0,0,0,0,Some researchers theorize that Primeape remains angry even when inside a Poké Ball.,Vital Spirit,Anger Point,Defiant,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
0058,Growlithe,1,2,Puppy Pokémon,0.7,19.0,20,Caninos,Growlithe,Fukano,Growlithe,True,25,75,True,190,Slow,Brown,70,55,70,45,70,50,60,70,Field,,Fire,,0,1,0,0,0,0,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,Intimidate,Flash Fire,Justified,False,False,True,basic,,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
0059,Arcanine,1,2,Legendary Pokémon,1.9,155.0,20,Arcanin,Arcanine,Arkani,Arcanine,True,25,75,True,75,Slow,Brown,70,90,110,80,100,80,95,194,Field,,Fire,,0,2,0,0,0,0,Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.,Intimidate,Flash Fire,Justified,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
0060,Poliwag,1,1,Tadpole Pokémon,0.6,12.4,20,Ptitard,Poliwag,Quapsel,Poliwag,True,50,50,True,255,Medium Slow,Blue,70,40,50,40,40,40,90,60,Water 1,,Water,,0,0,0,0,0,1,"Its legs are newly grown, and it can't walk very well. It seems to prefer swimming through the water instead.",Water Absorb,Damp,Swift Swim,False,False,True,basic,25,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
0061,Poliwhirl,1,1,Tadpole Pokémon,1.0,20.0,20,Têtarte,Poliwhirl,Quaputzi,Poliwhirl,True,50,50,True,120,Medium Slow,Blue,70,65,65,65,50,50,90,135,Water 1,,Water,,0,0,0,0,0,2,Its skin is moist all over its body. The skin on its belly spiral also feels smooth.,Water Absorb,Damp,Swift Swim,False,False,True,stage 1,,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
0062,Poliwrath,1,1,Tadpole Pokémon,1.3,54.0,20,Tartard,Poliwrath,Quappo,Poliwrath,True,50,50,True,45,Medium Slow,Blue,70,90,85,95,70,90,70,230,Water 1,,Water,Fighting,0,0,3,0,0,0,It can use its well-developed arms and legs to run on the surface of the water for a split second.,Water Absorb,Damp,Swift Swim,False,False,True,stage 2,,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
0063,Abra,1,1,Psi Pokémon,0.9,19.5,20,Abra,Abra,Abra,Abra,True,25,75,True,200,Medium Slow,Brown,70,25,20,15,105,55,90,62,Human-Like,,Psychic,,0,0,0,1,0,0,,Synchronize,Inner Focus,Magic Guard,False,False,True,basic,16,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
